scaffold_smiles,n_samples,n_outside_ad,pct_outside_ad
O=c1ocnn1-c1ccccc1,1,1,100.0
c1ccc(Oc2ccccc2)cc1,1,1,100.0
O=C(N=Cc1ccccc1)Nc1ccccc1,1,1,100.0
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,2,2,100.0
N=c1[nH]cc(Cc2ccccc2)c(=N)[nH]1,1,1,100.0
O=C1c2ccccc2C(=O)c2ccccc21,1,1,100.0
c1cncnc1,1,1,100.0
C1=CC2CC1[C@@H]1[C@H]2[C@H]2C=C[C@@H]1C2,1,1,100.0
C1CCOC1,1,1,100.0
c1ccc(Cc2ccccc2)cc1,1,1,100.0
c1ccc(C2CO2)cc1,1,1,100.0
O=c1ccn2c3c(cccc13)CCC2,1,1,100.0
C1CCCCC1,1,1,100.0
C=C1CC2CCC1C2,1,1,100.0
c1ccccc1,25,20,80.0
,28,17,60.7
c1ccc(-c2ccccc2)cc1,4,1,25.0
c1ccc2cc3c(ccc4ccccc43)cc2c1,1,0,0.0
c1ccc2c(c1)Cc1ccccc1-2,1,0,0.0
c1ccc2c(c1)ccc1c3ccccc3ccc21,1,0,0.0
c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,1,0,0.0
C=C(c1ccccc1)c1ccccc1,1,0,0.0
c1ccc2c(c1)oc1ccccc12,1,0,0.0
c1ccc2ccccc2c1,1,0,0.0
c1ccc2c(c1)Oc1ccccc1O2,1,0,0.0
c1cc2ccc3cccc4ccc(c1)c2c34,1,0,0.0
