original_name	manual correct
? HCH*	Hexachlorocyclohexane
1,1'-biphenyl(pcb0)	#N/A
1,2,3,4-tetrahydro-1-4-dimethylnaphthalene	1,2,3,4-Tetrahydro-1,4-dimethylnaphthalin
1,4,5-trimethylnapthalene	1,4,5-trimethylnaphthalene
1-methyl-7-(1methylethyl)-hydrophenanthrene	#N/A
1-methyl-7--hydrophenanthrene	#N/A
1-methyl-7--phenanthrene	#N/A
2,2,5-trimemethylhexane	2,2,5-Trimethylhexane
2,2,dimethyloctane	2,2-Dimethyloctane
2,3 Dimethy-5(4methylpentyl) naphthalene	6,7-Dimethyl-1-(4-methylpentyl)naphthalene
2,3 Dimethy-5naphthalene	#N/A
5?(H)-androstane	5alpha-androstane
9-n butylphenanthrene	9-BUTYLPHENANTHRENE
BACITRACIN	(4R)-4-[(2S)-2-({2-[(1S)-1-amino-2-methylbutyl]- 4,5-dihydro-1,3-thiazol-5-yl}formamido)-4-methylpentanamido]-4-{[(1S)- 1-{[(3S,6R,9S,12R,15S,18R,21S)- 18-(3-aminopropyl)-12-benzyl-15-(butan-2-yl)-3-(carbamoylmethyl)- 6-(carboxymethyl)-9-(1H-imidazol-5-ylmethyl)-2,5,8,11,14,17,20- heptaoxo-1,4,7,10,13,16,19-heptaazacyclopentacosan-21-yl]carbamoyl}- 2-methylbutyl]carbamoyl}butanoic acid
benz a anthracene	benzo[a]anthracene
benzaanthracene	benzo[a]anthracene
benzo a pyrene	benzo[a]pyrene
benzo b thiophene	benzothiophene
benzoapyrene	benzo[a]pyrene
benzobthiophene	#N/A
benzyldehyde	benzaldehyde
bis(2-chloroethyl)ether(1	#N/A
bisether(1	#N/A
C1-Chrysenes	#N/A
C1-Dibenzothiophenes	#N/A
C1-Fluoranthenes/Pyrenes	#N/A
C1-Fluorenes	#N/A
C1-Naphthalenes	#N/A
C1-Phenanthrenes/Anthracenes	#N/A
C2-Chrysenes	#N/A
C2-Dibenzothiophenes	#N/A
C2-Fluoranthenes/Pyrenes	#N/A
C2-Fluorenes	#N/A
C2-Naphthalenes	#N/A
C2-Phenanthrenes/Anthracenes	#N/A
C3-Chrysenes	#N/A
C3-Dibenzothiophenes	#N/A
C3-Fluoranthenes/Pyrenes	#N/A
C3-Fluorenes	#N/A
C3-Naphthalenes	#N/A
C3-Phenanthrenes/Anthracenes	#N/A
C4-Dibenzothiophenes	#N/A
C4-Naphthalenes	#N/A
C4-Phenanthrenes/Anthracenes	#N/A
chloroethene(vinylchloride)	
decachlorobiphenyl(pcb209)	#N/A
di-(2-ethylhexyl)-phthalate(dehp)	
diethylphthalate (dep)	Diethyl Phthalate
dimethylphthalate (dmp)	Dimethyl Phthalate
di--phthalate	#N/A
dodecahdyro chrysene	1,2,3,4,4a,7,8,9,10,11,12,12a-Dodecahydrochrysene
ethane, 1,1'- methylenebisbis 2-chloro-	#N/A
ethane, 1,1'-oxybis 2-chloro-	1,1'-oxybis(2-chloroethane)
Hypo-A*	#N/A
Hypo-B*	#N/A
Hypo-C*	#N/A
indane (residuum trimethylalkane)	#N/A
methane, oxybis chloro-	#N/A
MILBEMECTIN	#N/A
NAPHTHENIC ACIDS	#N/A
NAPROAMIDE	N,N-Diethyl-2-naphthalen-1-yloxypropanamide
n-tritriacontrane	tritriacontane
o,p'dde	1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]-benzene
p, p' - DDT	1,1,1-trichloro-2,2-bis(chlorophenyl)ethane
p,p' - DDE	1,1'-(2,2-dichloroethenylidene)bis[4-chloro-benzene]
PCB 101*	2,2',4,5,5'-Pentachlorobiphenyl
PCB 180*	2,2',3,4,4',5,5'-Heptachlorobiphenyl
PCB 28*	2,4,4'-Trichlorobiphenyl
PCB-1	2-Chlorobiphenyl,
PCB-11	3,3'-Dichlorobiphenyl
PCB-15	4,4'-Dichlorobiphenyl
pcb-153	2,2',4,4',5,5'-Hexachlorobiphenyl
pcb-153(2,2',4,4',5,5'-hexachlorobiphenyl)	2,2',4,4',5,5'-Hexachlorobiphenyl
PCB-18	2,2',5-Trichlorobiphenyl
PCB-29	2,4,5-Trichlorobiphenyl
PCB-30	2,4,6-Trichlorobiphenyl
PCB-33	2,3',4'-Trichlorobiphenyl
PCB-4	2,2'-Dichlorobiphenyl
PCB-40	2,2',3,3'-Tetrachlorobiphenyl
PCB-47	2,2',4,4'-Tetrachlorobiphenyl
pcb-52	2,2',5,5'-Tetrachlorobiphenyl
pcb-52(2,2',5,5'-tetrachlorobiphenyl)	2,2',5,5'-Tetrachlorobiphenyl
PCB-7	2,4-Dichlorobiphenyl
pcb-77	 3,3',4,4'-Tetrachlorobiphenyl
pcb-77(3,3',4,4'-tetrachlorobiphenyl)	 3,3',4,4'-Tetrachlorobiphenyl
PCB-9	2,5-Dichlorobiphenyl
p-cresol*	p-cresol
perhydro-terphenyl (tricyclohexyl)	#N/A
perhydro-terphenyl (tricyclohexyl) {MRD-08-158}	#N/A
perhydro-terphenyl{MRD-08-158}	#N/A
propane, 2,2'-oxybis 1-chloro-	#N/A
propane,2,2'-oxybis1-chloro-	#N/A
terahydro chrysene	1,2,3,4-Tetrahydrochrysene
tetrachlorometane	tetrachloro methane
TRALKOXYDIM	2-[1-(Ethoxyimino)propyl]-3-hydroxy-5-(2,4,6-trimethylphenyl)-2-cyclohexen-1-one
TRICHLOROBENZENES	#N/A
XYLENES	#N/A
